Ⲉⲣϣⲁⲛ	ACOND	ⲉⲣϣⲁⲛ
ⲉ	CCIRC	ⲉ
ⲩ	PPERS	ⲩ
ϯⲉⲟⲟⲩ	V	ϯⲉⲟⲟⲩ
ⲛⲁ	PREP	ⲛⲁ
ϥ	PPERO	ϥ
·	PUNCT	·
ⲏ̂	CONJ	ⲏ
ⲉⲣϣⲁⲛ	ACOND	ⲉⲣϣⲁⲛ
ϩⲟⲩⲟ̂	N	ϩⲟⲩⲟ
ⲉ	PREP	ⲉ
ⲛ	ART	ⲛ
ⲙⲏⲏϣⲉ	N	ⲙⲏⲏϣⲉ
ⲛ̄ⲧ	CREL	ⲛⲧ
ⲁ	APST	ⲁ
ⲕ	PPERS	ⲕ
ϫⲟⲟ	V	ϫⲟⲟ
ⲥ	PPERO	ⲥ
ϫⲉ	CONJ	ϫⲉ
ⲥⲉ	PPERS	ⲥⲉ
ϫⲓ	V	ϫⲓ
ϩⲛⲁ	N	ϩⲛⲁ
ⲩ	PPERO	ⲩ
ⲛⲁ	PREP	ⲛⲁ
ϥ	PPERO	ϥ
.	PUNCT	.
ⲉⲩϣⲁⲛ	ACOND_PPERS	ⲉⲩϣⲁⲛ
ⲡⲱⲛ︤ⲅ︥	V	ⲡⲱⲛⲅ
ⲛⲁ	PREP	ⲛⲁ
ⲓ̈	PPERO	ⲓ
ⲁϫ︤ⲛ︥	PREP	ⲁϫⲛ
ϯ	N	ϯ
ⲥⲟ⳿	N	ⲥⲟ
ϫⲉ	CONJ	ϫⲉ
ϯ	PPERS	ϯ
ⲟ̂	VSTAT	ⲟ
ϩⲱⲱ	IMOD	ϩⲱⲱ
ⲧ⳿	PPERO	ⲧ
ⲛ̄	PREP	ⲛ
ϩ︤ⲙ︥ϩⲁⲗ	N	ϩⲙϩⲁⲗ
ⲛⲁ	PREP	ⲛⲁ
ⲩ	PPERO	ⲩ
ⲕⲁⲗⲱⲥ	ADV	ⲕⲁⲗⲱⲥ
ϫⲉ	CONJ	ϫⲉ
ⲛⲁ	PPOS	ⲛⲁ
ⲥⲛⲏⲩ	N	ⲥⲛⲏⲩ
ⲛⲉ⳿	COP	ⲛⲉ
ⲉ	CFOC	ⲉ
ⲓ̈	PPERS	ⲓ
ⲥⲱⲟⲩ	V	ⲥⲱⲟⲩ
ϩⲛⲁ	N	ϩⲛⲁ
ⲩ	PPERO	ⲩ
ⲉϩⲟⲩⲛ	ADV	ⲉϩⲟⲩⲛ
ⲉ	PREP	ⲉ
ϩⲉⲛ	ART	ϩⲉⲛ
ⲁϩⲟ̂	N	ⲁϩⲟ
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲧ	ART	ⲧ
ⲡⲉ⳿	N	ⲡⲉ
ⲛ̄	PREP	ⲛ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲟⲩϯ	V	ⲟⲩϯ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲟⲩ	PPERO	ⲟⲩ
ⲛ̄	PREP	ⲛ
ⲧⲁⲉⲓⲟ̂	N	ⲧⲁⲉⲓⲟ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ⲛⲟⲩⲧⲉ	N	ⲛⲟⲩⲧⲉ
.	PUNCT	.
ⲙⲏ	CONJ	ⲙⲏ
ⲛ̄ⲧ	CFOC	ⲛⲧ
ⲁ	APST	ⲁ
ⲩ	PPERS	ⲩ
ⲛ̄ⲧ	V	ⲛⲧ
ⲟⲩ	PPERO	ⲟⲩ
ⲉⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
ϩ︤ⲙ︥	PREP	ϩⲙ
ⲡⲉⲕ	PPOS	ⲡⲉⲕ
ⲏⲓ̈	N	ⲏⲓ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲡ	ART	ⲡ
ⲏⲓ̈	N	ⲏⲓ
ⲛ̄	PREP	ⲛ
ⲛⲉⲕ	PPOS	ⲛⲉⲕ
ⲉⲓⲟ̂ⲧⲉ⳿	N	ⲉⲓⲟⲧⲉ
.	PUNCT	.
ⲕ	PPERS	ⲕ
ⲧⲱⲣ︤ⲡ︥	V	ⲧⲱⲣⲡ
ⲛ̄	PREP	ⲛ
ⲛ	ART	ⲛ
ⲉⲧⲉ	CREL	ⲉⲧⲉ
ⲛⲟⲩⲕ	PPOS	ⲛⲟⲩⲕ
ⲁⲛ	NEG	ⲁⲛ
ⲛⲉ⳿	COP	ⲛⲉ
ⲡ	ART	ⲡ
ⲣⲱⲙⲉ	N	ⲣⲱⲙⲉ
ⲙ̄	PREP	ⲙ
ⲡⲟⲛⲏⲣⲟⲥ⳿	N	ⲡⲟⲛⲏⲣⲟⲥ
.	PUNCT	.
ⲕ	PPERS	ⲕ
ⲡⲟⲛⲏⲣⲉⲩⲉ	V	ⲡⲟⲛⲏⲣⲉⲩⲉ
ⲇⲉ	PTC	ⲇⲉ
ϩⲱⲱ	IMOD	ϩⲱⲱ
ϥ	PPERO	ϥ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲕ	PPERS	ⲕ
ⲕⲁϫⲣⲟⲡ	V	ⲕⲁϫⲣⲟⲡ
ⲉϩⲣⲁⲓ̈	ADV	ⲉϩⲣⲁⲓ
ⲛ̄	PREP	ⲛ
ⲛ	ART	ⲛ
ⲣⲉϥϯ	N	ⲣⲉϥϯ
ⲛ̄	PREP	ⲛ
ⲛ	ART	ⲛ
ϩⲏⲕⲉ⳿	N	ϩⲏⲕⲉ
.	PUNCT	.
ⲉ	CCIRC	ⲉ
ⲩ	PPERS	ⲩ
ⲥⲟⲟⲩⲛ⳿	V	ⲥⲟⲟⲩⲛ
ϫⲉ	CONJ	ϫⲉ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲟⲩ	PPERS	ⲟⲩ
ϯ	V	ϯ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲟⲩ	PPERO	ⲟⲩ
ⲏ̂	CONJ	ⲏ
ⲛ	ART	ⲛ
ⲉ‴ⲧ	CREL	ⲉⲧ
ⲟⲩ	PPERS	ⲟⲩ
ⲛⲁ⳿	VSTAT	ⲛⲁ
ⲛ̄ϩⲏⲧ	PREP	ⲛϩⲏⲧ
ⲟⲩ	PPERO	ⲟⲩ
ⲛ̄	PREP	ⲛ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲣ⳿ϭⲣⲱϩ⳿	V	ⲣϭⲣⲱϩ
ⲛⲁ	PPOS	ⲛⲁ
ⲡⲉ	ART	ⲡⲉ
ⲭ︤ⲥ︥	N	ⲭⲣⲓⲥⲧⲟⲥ
ⲛⲉ⳿	COP	ⲛⲉ
ⲛ̄ⲧ	CREL	ⲛⲧ
ⲁ	APST	ⲁ
ϥ	PPERS	ϥ
ⲧⲁⲁ	V	ⲧⲁⲁ
ⲩ	PPERO	ⲩ
ⲛⲁ	PREP	ⲛⲁ
ⲩ	PPERO	ⲩ
ⲉ	PREP	ⲉ
ⲩ	ART	ⲩ
ⲁⲡⲟⲗⲁⲩⲥⲓⲥ⳿	N	ⲁⲡⲟⲗⲁⲩⲥⲓⲥ
.	PUNCT	.
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲉⲣ⳿ⲣ︤ⲙ︥ⲙⲁⲟ̂	V	ⲣⲣⲙⲙⲁⲟ
ϩ︤ⲛ︥	PREP	ϩⲛ
ϩⲉⲛ	ART	ϩⲉⲛ
ϩⲃⲏⲩⲉ	N	ϩⲃⲏⲩⲉ
ⲉ	CREL	ⲉ
ⲛⲁⲛⲟⲩ	VBD	ⲛⲁⲛⲟⲩ
ⲟⲩ	PPERS	ⲟⲩ
 =–.	PUNCT	.
Ⲙⲏ⳿	CONJ	ⲙⲏ
ⲁⲣⲁ	CONJ	ⲁⲣⲁ
ⲉ	CFOC	ⲉ
ⲓ̈	PPERS	ⲓ
ⲟⲩⲏϩ	VSTAT	ⲟⲩⲏϩ
ⲟⲛ⳿	ADV	ⲟⲛ
ϩⲓϫ︤ⲛ︥	PREP	ϩⲓϫⲛ
ⲧ	ART	ⲧ
ⲙⲏⲧⲉ⳿	N	ⲙⲏⲧⲉ
ⲛ̄	PREP	ⲛ
ϫⲱ	N	ϫⲱ
ⲕ	PPERO	ⲕ
,	PUNCT	,
ϫⲉ	CONJ	ϫⲉ
ⲕ	PPERS	ⲕ
ϫⲱ	V	ϫⲱ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲥ	PPERO	ⲥ
ϫⲉ	CONJ	ϫⲉ
ϣⲁⲛⲧⲉ	ALIM	ϣⲁⲛⲧⲉ
ⲟ ̂ⲩ	PINT	ⲟⲩ
ϣⲱⲡⲉ	V	ϣⲱⲡⲉ
ⲙ̄ⲡ︤	ANEGPST	ⲙⲡ
ϥ︥	PPERS	ϥ
ⲥϭⲏⲣ⳿	V	ⲥϭⲏⲣ
,	PUNCT	,
ⲉ	CCIRC	ⲉ
ϥ	PPERS	ϥ
ϫⲱ	V	ϫⲱ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲥ	PPERO	ⲥ
ϫⲉ	CONJ	ϫⲉ
ϯ	PPERS	ϯ
ⲛⲁ	FUT	ⲛⲁ
ⲃⲱⲕ⳿	V	ⲃⲱⲕ
.	PUNCT	.
ⲉ	CCIRC	ⲉ
ϥ	PPERS	ϥ
ⲛⲉϫ	V	ⲛⲉϫ
ϩⲟⲟⲩ	N	ϩⲟⲟⲩ
ⲛ̄ⲥⲁ	PREP	ⲛⲥⲁ
ϩⲟⲟⲩ	N	ϩⲟⲟⲩ
.	PUNCT	.
ⲉⲧⲃⲉ	PREP	ⲉⲧⲃⲉ
ⲟ ̂ⲩ	PPERO	ⲟⲩ
ⲉ	CFOC	ⲉ
ⲓ̈	PPERS	ⲓ
ⲟ̂	VSTAT	ⲟ
ⲙ̄	PREP	ⲙ
ⲡⲓ	PDEM	ⲡⲓ
ⲛⲟϭ	N	ⲛⲟϭ
ⲛ̄	PREP	ⲛ
ⲃⲁⲣⲟⲥ⳿	N	ⲃⲁⲣⲟⲥ
ⲉϩⲣⲁⲓ̈	ADV	ⲉϩⲣⲁⲓ
ⲉϫⲱ	PREP	ⲉϫⲱ
ⲕ	PPERO	ⲕ
ⲛ̄	PREP	ⲛ
ⲧⲉⲓ̈	PDEM	ⲧⲉⲓ
ϩⲉ⳿	N	ϩⲉ
ⲧⲏⲣ︤	IMOD	ⲧⲏⲣ
ⲥ︥	PPERO	ⲥ
ϫⲉ	CONJ	ϫⲉ
ⲁ	APST	ⲁ
ⲓ̈	PPERS	ⲓ
ⲃⲱⲕ⳿	V	ⲃⲱⲕ
ϣⲁ	PREP	ϣⲁ
ⲛⲉ	ART	ⲛⲉ
ⲣⲣⲱⲟⲩ	N	ⲣⲣⲱⲟⲩ
ⲏ̂	CONJ	ⲏ
ⲙ̄ⲡ	ANEGPST	ⲙⲡ
ⲓ	PPERS	ⲓ
ⲃⲱⲕ⳿	V	ⲃⲱⲕ
.	PUNCT	.
ⲙⲏ⳿	CONJ	ⲙⲏ
ⲙ̄	ART	ⲙ
ⲡⲏⲩⲉ	N	ⲡⲏⲩⲉ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲡ	ART	ⲡ
ⲕⲁϩ	N	ⲕⲁϩ
ⲛⲁ	PPOS	ⲛⲁ
ⲡⲉ	ART	ⲡⲉ
ⲭ︤ⲥ︥	N	ⲭⲣⲓⲥⲧⲟⲥ
ⲁⲛ	NEG	ⲁⲛ
ⲛⲉ⳿	COP	ⲛⲉ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲛ	ART	ⲛ
ⲉⲧ︤	CREL	ⲉⲧ
ⲛ︥ϩⲏⲧ	PREP	ⲛϩⲏⲧ
ⲟⲩ	PPERO	ⲟⲩ
ⲧⲏⲣ	IMOD	ⲧⲏⲣ
ⲟⲩ	PPERO	ⲟⲩ
.	PUNCT	.
ⲙⲏ⳿	CONJ	ⲙⲏ
ⲟⲩⲛ̄ⲧⲉ	EXIST	ⲟⲩⲛⲧⲉ
ⲡⲉⲕ	PPOS	ⲡⲉⲕ
ⲉⲓⲱⲧ	N	ⲉⲓⲱⲧ
ⲕⲣⲟⲛⲟⲥ⳿	NPROP	ⲕⲣⲟⲛⲟⲥ
ⲗⲁⲁⲩ	N	ⲗⲁⲁⲩ
ⲣⲱ̂	PTC	ⲣⲱ
ⲛ̄ⲧⲟϥ	PPERI	ⲛⲧⲟϥ
ⲛ̄ⲥⲁ	PREP	ⲛⲥⲁ
ϩⲉⲛ	ART	ϩⲉⲛ
ⲛⲟⲃⲉ	N	ⲛⲟⲃⲉ
ⲛⲁⲓ̈	PDEM	ⲛⲁⲓ
ⲉⲧ︤	CREL	ⲉⲧ
ⲕ︥	PPERS	ⲕ
ⲟ̂	VSTAT	ⲟ
ⲛ̄	PREP	ⲛ
ⲟⲩ	ART	ⲟⲩ
ⲟⲉⲓⲉ⳿	N	ⲟⲉⲓⲉ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ⲟⲩ	PPERO	ⲟⲩ
ⲛⲁ	PREP	ⲛⲁ
ϥ	PPERO	ϥ
ⲛ̄ⲧⲟⲕ	PPERI	ⲛⲧⲟⲕ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲉⲓⲛⲉ	V	ⲉⲓⲛⲉ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲕ	PPERO	ⲕ
.	PUNCT	.
ⲉ̄	CCIRC	ⲉ
ⲧⲉⲧ︤ⲛ︥	PPERS	ⲧⲉⲧⲛ
ϫⲟ̂	V	ϫⲟ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲉ	CFOC	ⲉ
ⲧⲉⲧ︤ⲛ︥	PPERS	ⲧⲉⲧⲛ
ⲱⲗ⳿	V	ⲱⲗ
ⲛⲁ	PREP	ⲛⲁ
ϥ⳿	PPERO	ϥ
ⲉϩⲟⲩⲛ⳿	ADV	ⲉϩⲟⲩⲛ
ⲛ̄	PREP	ⲛ
ⲙ	ART	ⲙ
ⲙ︤ⲛ︦ⲧ︥ⲁⲡⲓⲥⲧⲟⲥ⳿	N	ⲙⲛⲧⲁⲡⲓⲥⲧⲟⲥ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲛ̄	ART	ⲛ
ϭⲟⲗ⳿	N	ϭⲟⲗ
,	PUNCT	,
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲛ̄	ART	ⲛ
ϫⲓ	N	ϫⲓ
ⲛ	PREP	ⲛ
ϭⲟⲛⲥ̄	N	ϭⲟⲛⲥ
,	PUNCT	,
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲛ̄	ART	ⲛ
ⲟⲩⲁ⳿	N	ⲟⲩⲁ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ϩⲱⲃ	N	ϩⲱⲃ
ⲛⲓⲙ	PINT	ⲛⲓⲙ
ⲙ̄	PREP	ⲙ
ⲡⲟⲛⲏⲣⲟⲛ⳿	N	ⲡⲟⲛⲏⲣⲟⲛ
=	PUNCT	.
Ⲉⲛⲉ	CONJ	ⲉⲛⲉ
ⲛ̄ⲧ︤ⲕ︥	PPERI	ⲛⲧⲕ
ⲟⲩ	ART	ⲟⲩ
ⲉⲛⲧⲏϭ	N	ⲉⲛⲧⲏϭ
ⲛ̄	PREP	ⲛ
ⲧⲉⲓ̈	PDEM	ⲧⲉⲓ
ϩⲉ	N	ϩⲉ
ⲉ	CCIRC	ⲉ
ⲕ	PPERS	ⲕ
ⲣⲏⲧ⳿	VSTAT	ⲣⲏⲧ
ϩⲁⲣⲓϩⲁⲣⲟ	PREP	ϩⲁⲣⲓϩⲁⲣⲟ
ⲕ⳿	PPERO	ⲕ
ⲛⲉ	CPRET	ⲛⲉ
ⲡ	ART	ⲡ
ⲉⲧ	CREL	ⲉⲧ
ⲉϣϣⲉ	V	ⲉϣϣⲉ
ⲡⲉ⳿	COP	ⲡⲉ
ⲉ	PREP	ⲉ
ⲁⲛⲉⲭⲉ⳿	V	ⲁⲛⲉⲭⲉ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲕ	PPERO	ⲕ
ϣⲁ	PREP	ϣⲁ
ⲡⲉ	ART	ⲡⲉ
ⲟⲩⲟⲓⲉϣ	N	ⲟⲩⲟⲓⲉϣ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ⲱϩ︤ⲥ︥	N	ⲱϩⲥ
ⲕⲁⲧⲁ	PREP	ⲕⲁⲧⲁ
ⲡ	ART	ⲡ
ϣⲁϫⲉ	N	ϣⲁϫⲉ
ⲙ̄	PREP	ⲙ
ⲡ	ART	ⲡ
ϫⲟⲉⲓⲥ	N	ϫⲟⲉⲓⲥ
ⲉⲛⲧ	CREL	ⲉⲛⲧ
ⲁ	APST	ⲁ
ⲕ	PPERS	ⲕ
ϫⲓⲟⲩⲁ̂	V	ϫⲓⲟⲩⲁ
ⲉⲣⲟ	PREP	ⲉⲣⲟ
ϥ	PPERO	ϥ
.	PUNCT	.
ⲁⲗⲗⲁ	CONJ	ⲁⲗⲗⲁ
ⲛ̄ⲧ︤ⲕ︥	PPERI	ⲛⲧⲕ
ⲟⲩ	ART	ⲟⲩ
ϣⲟⲛⲧⲉ⳿	N	ϣⲟⲛⲧⲉ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲟⲩ	ART	ⲟⲩ
ⲁⲣⲟⲟⲩⲉ⳿	N	ⲁⲣⲟⲟⲩⲉ
ⲉ	CCIRC	ⲉ
ⲕ	PPERS	ⲕ
ϩⲓ	V	ϩⲓ
ⲛⲉ	ART	ⲛⲉ
ϩⲓⲟⲟⲩⲉ	N	ϩⲓⲟⲟⲩⲉ
ⲉ	CCIRC	ⲉ
ⲕ	PPERS	ⲕ
ⲟ̂	VSTAT	ⲟ
ⲛ̄	PREP	ⲛ
ϫⲣⲟⲡ̂	N	ϫⲣⲟⲡ
ⲛ̄	PREP	ⲛ
ⲛ	ART	ⲛ
ⲉⲧ	CREL	ⲉⲧ
ⲙⲟⲟϣⲉ	V	ⲙⲟⲟϣⲉ
,	PUNCT	,
ⲉⲧⲃⲉ	PREP	ⲉⲧⲃⲉ
ⲡⲁⲓ̈	PDEM	ⲡⲁⲓ
ⲡ	ART	ⲡ
ⲉⲧ	CREL	ⲉⲧ
ⲉϣ	V	ⲉϣϣⲉ
ⲡⲉ⳿	ART	ⲡⲉ
ⲉ	PREP	ⲉ
ϣⲁⲁⲧ︤	V	ϣⲁⲁⲧ
ⲕ︥	PPERO	ⲕ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲉ	CFOC	ⲉ
ⲃⲟⲗⲃ︤ⲗ︥	V	ⲃⲟⲗⲃⲗ
ⲛ̄	PREP	ⲛ
ⲧⲉⲕ	PPOS	ⲧⲉⲕ
ⲛⲟⲩⲛⲉ⳿	N	ⲛⲟⲩⲛⲉ
=	PUNCT	.
Ⲉⲡⲉⲓⲇⲏ	CONJ	ⲉⲡⲉⲓⲇⲏ
ⲁ	APST	ⲁ
ⲕ	PPERS	ⲕ
ϫⲟⲟ	V	ϫⲟⲟ
ⲥ	PPERO	ⲥ
ⲇⲉ	PTC	ⲇⲉ
ⲟⲛ⳿	ADV	ⲟⲛ
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲛⲉⲕ	PPOS	ⲛⲉⲕ
ϣⲁϫⲉ	N	ϣⲁϫⲉ
ⲛ̄	PREP	ⲛ
ⲉⲡⲣⲁ⳿	N	ⲉⲡⲣⲁ
ϫⲉ	CONJ	ϫⲉ
ⲉⲛⲉ	CONJ	ⲉⲛⲉ
ⲟⲩ	ART	ⲟⲩ
ⲙⲟⲛⲁⲭⲟⲥ	N	ⲙⲟⲛⲁⲭⲟⲥ
ⲛⲁⲙⲉ	ADV	ⲛⲁⲙⲉ
ⲡⲉ⳿	COP	ⲡⲉ
ⲛⲉ	CPRET	ⲛⲉ
ϥ	PPERS	ϥ
ⲛⲁ	FUT	ⲛⲁ
ⲣ̂	V	ⲣ
ϣⲟⲙ︤ⲧ︥	NUM	ϣⲟⲙⲧ
ⲙ̄	PREP	ⲙ
ⲫⲟⲛⲟⲥ⳿	N	ⲫⲟⲛⲟⲥ
ϩ︤ⲙ︥	PREP	ϩⲙ
ⲡⲉ	ART	ⲡⲉ
ϩⲙⲉ⳿	NUM	ϩⲙⲉ
ⲛ̄	PREP	ⲛ
ϩⲟⲟⲩ	N	ϩⲟⲟⲩ
.	PUNCT	.
ⲉ	CCIRC	ⲉ
ⲕ	PPERS	ⲕ
ϫⲱ	V	ϫⲱ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ⲥ	PPERO	ⲥ
ⲉ	PREP	ⲉ
ⲛ	ART	ⲛ
ⲣⲓⲣ⳿	N	ⲣⲓⲣ
ⲙ︤ⲛ︥	PREP	ⲙⲛ
ⲧ	ART	ⲧ
ⲉϩⲉ⳿	N	ⲉϩⲉ
ⲛ̄ⲧ	CREL	ⲛⲧ
ⲁ	APST	ⲁ
ⲓ̈	PPERS	ⲓ
ⲕⲟⲛⲥ	V	ⲕⲟⲛⲥ
ⲟⲩ	PPERO	ⲟⲩ
ϩ︤ⲛ︥	PREP	ϩⲛ
ⲛ̄	ART	ⲛ
ⲏⲓ̈	N	ⲏⲓ
ⲛ̄	PREP	ⲛ
ⲛ̄	ART	ⲛ
ϩⲉⲗⲗⲏⲛ⳿	N	ϩⲉⲗⲗⲏⲛ
ϫⲉ	CONJ	ϫⲉ
ⲙ̄	ART	ⲙ
ⲫⲟⲛⲟⲥ⳿	N	ⲫⲟⲛⲟⲥ
ϯ	PPERS	ϯ
ⲛⲁ	FUT	ⲛⲁ
ϫⲟⲞ	V	ϫⲟⲟ
ⲥ	PPERS	ⲥ
ϩⲱⲱ	IMOD	ϩⲱⲱ
ⲧ⳿	PPERO	ⲧ
ⲛ̄	PREP	ⲛ
ⲧⲉⲓ̈	PDEM	ⲧⲉⲓ
ϩⲉ	N	ϩⲉ
ⲛ̄	PREP	ⲛ
ⲛⲁϩ︤ⲣ︦ⲛ︥	PREP	ⲛⲁϩⲣⲛ
ⲛⲉⲕ	PPOS	ⲛⲉⲕ
ϣⲁϫⲉ	N	ϣⲁϫⲉ
ⲛ̄	PREP	ⲛ
ⲕⲁⲃⲟⲗ⳿	N	ⲕⲁⲃⲟⲗ
ϫⲉ	CONJ	ϫⲉ
ⲉϣϫⲉ	CONJ	ⲉϣϫⲉ
ⲟⲩ	PINT	ⲟⲩ
ⲡ	ART	ⲡ
ⲉⲧ	CREL	ⲉⲧ
ⲉϣϣⲉ	V	ⲉϣϣⲉ
ⲁⲛ⳿	NEG	ⲁⲛ
ⲡ	ART	ⲡ
ⲉ⳯ⲧ	CREL	ⲉⲛⲧ
ⲁ	APST	ⲁ
ⲓ̈	PPERS	ⲓ
ⲁⲁ	V	ⲁⲁ
ϥ	PPERO	ϥ
ϫⲉ	CONJ	ϫⲉ
ⲁ	APST	ⲁ
ⲓ̈	PPERS	ⲓ
ⲡⲁⲣⲁⲇⲓⲅⲙⲁⲧⲓⲍⲉ⳿	V	ⲡⲁⲣⲁⲇⲓⲅⲙⲁⲧⲓⲍⲉ
ⲛ̄	PREP	ⲛ
ϩⲉⲛ	ART	ϩⲉⲛ
ⲣⲉϥϣ︤ⲙ︥ϣⲉⲉⲓⲇⲱⲗⲟⲛ⳿	N	ⲣⲉϥϣⲙϣⲉⲉⲓⲇⲱⲗⲟⲛ
.	PUNCT	.
ⲉⲓ̈ⲉ	CONJ	ⲉⲓⲉ
ⲟⲩ	ART	ⲟⲩ
ⲕⲁⲧⲁⲕⲣⲓⲙⲁ	N	ⲕⲁⲧⲁⲕⲣⲓⲙⲁ
ⲛⲁ	PREP	ⲛⲁ
ⲕ	PPERO	ⲕ
ⲛ̄	PREP	ⲛ
ⲟⲩⲏⲣ	PINT	ⲟⲩⲏⲣ
ⲡⲉ⳿	COP	ⲡⲉ
ϫⲉ	CONJ	ϫⲉ
ⲕ	PPERS	ⲕ
ⲡⲁⲣⲁⲃⲁ⳿	V	ⲡⲁⲣⲁⲃⲁ
ϩ︤ⲙ︥	PREP	ϩⲙ
ⲡⲉ	ART	ⲡⲉ
ϩⲙⲉ	NUM	ϩⲙⲉ
ⲛ̄	PREP	ⲛ
ϩⲟⲟⲩ	N	ϩⲟⲟⲩ
,	PUNCT	,
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ϩ︤ⲙ︥	PREP	ϩⲙ
ⲡ	ART	ⲡ
ⲛⲟϭ	N	ⲛⲟϭ
ⲙ̄	PREP	ⲙ
ⲡⲁⲥⲭⲁ⳿	N	ⲡⲁⲥⲭⲁ
ⲉⲧ	CREL	ⲉⲧ
ⲟⲩⲁⲁⲃ⳿	VSTAT	ⲟⲩⲁⲁⲃ
ⲉⲧⲉⲣⲉ	CREL	ⲉⲧⲉⲣⲉ
ⲟⲩⲟⲛ	N	ⲟⲩⲟⲛ
ⲛⲓⲙ	PINT	ⲛⲓⲙ
ⲉⲓⲣⲉ	V	ⲉⲓⲣⲉ
ⲙ̄ⲙⲟ	PREP	ⲙⲙⲟ
ϥ	PPERO	ϥ
ϣⲁ	PREP	ϣⲁ
ϩⲣⲁⲓ̈	ADV	ϩⲣⲁⲓ
ⲉ	PREP	ⲉ
ⲛ	ART	ⲛ
ⲕⲉ	ART	ⲕⲉ
ⲣ⳿ⲣⲱⲟⲩ	N	ⲣⲣⲱⲟⲩ
ⲙ̄	PREP	ⲙ
ⲙⲁⲓ̈ⲛⲟⲩⲧⲉ	N	ⲙⲁⲓⲛⲟⲩⲧⲉ
.	PUNCT	.
ⲛ̄ⲧⲟⲕ	PPERI	ⲛⲧⲟⲕ
ⲇⲉ	PTC	ⲇⲉ
ⲕ	PPERS	ⲕ
ⲧⲣⲉ	ACAUS	ⲧⲣⲉ
ⲛⲉⲕ	PPOS	ⲛⲉⲕ
ⲙⲁⲅⲉⲓⲣⲟⲥ⳿	N	ⲙⲁⲅⲉⲓⲣⲟⲥ
ⲣ̂ϩⲱⲃ	V	ⲣϩⲱⲃ
ⲛⲁ	PREP	ⲛⲁ
ⲕ	PPERO	ⲕ
ⲛ̄ϩⲏⲧ︤	PREP	ⲛϩⲏⲧ
ϥ︥	PPERO	ϥ
,	PUNCT	,
ⲉ	CCIRC	ⲉ
ⲕ	PPERS	ⲕ
ⲧⲣⲩⲫⲁ⳿	V	ⲧⲣⲩⲫⲁ
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲉ	CFOC	ⲉ
ⲕ	PPERS	ⲕ
ⲁⲡⲁⲧⲁ⳿	V	ⲁⲡⲁⲧⲁ
ⲁϫ︤ⲛ︥	PREP	ⲁϫⲛ
ϩⲟⲧⲉ	N	ϩⲟⲧⲉ
,	PUNCT	,
ⲁⲩⲱ	CONJ	ⲁⲩⲱ
ⲉ	CCIRC	ⲉ
ⲕ	PPERS	ⲕ
ⲧⲣⲉ	ACAUS	ⲧⲣⲉ
ϩⲉⲛ	ART	ϩⲉⲛ
ⲕⲟⲟⲩⲉ⳿	N	ⲕⲟⲟⲩⲉ
ⲁⲡⲁⲧⲁ⳿	V	ⲁⲡⲁⲧⲁ
ⲛ︤ⲙ︥ⲙⲁ	PREP	ⲛⲙⲙⲁ
ⲕ⳿	PPERO	ⲕ
=	PUNCT	.
ⲉⲃⲟⲗ	ADV	ⲉⲃⲟⲗ
ⲇⲉ	PTC	ⲇⲉ
Ⲟⲛ⳿	ADV	ⲟⲛ
ϫⲉ	CONJ	ϫⲉ
ⲁ	APST	ⲁ
